domain,count,avg_interest
centerfillers.com,2,767.0
kaczynscyclinic.pl,1,527.0
doktormonika.pl,23,479.1304347826087
keratinmoment.pl,2,473.0
imagofacebody.pl,1,470.0
novoderm.pl,1,464.0
skorna.pl,5,442.8
drlukaszrdzanek.pl,2,410.0
kosme.pl,5,396.0
perfectbasic.pl,1,389.0
www.san-medical.pl,4,357.0
www.drstawowska.pl,16,352.625
gemini.pl,6,352.1666666666667
www.skyclinic.pl,2,329.0
www.elle.pl,2,314.5
ktomalek.pl,10,311.7
www.klinikaantiaging.pl,7,305.42857142857144
piekne-cialo.pl,2,305.0
revitae.com.pl,1,284.0
gorlickakruk.pl,7,283.57142857142856
klinikaotco.pl,2,281.0
bonadea-krakow.net.pl,20,274.5
www.medyczneprawo.pl,1,271.0
klinikakrajewski.pl,17,264.3529411764706
www.motylclinic.pl,2,262.0
www.groupon.com,1,260.0
www.marekwasiluk.pl,6,251.0
akademiarzezbieniatwarzy.pl,1,245.0
projektskora.pl,44,239.4090909090909
mariemargo.pl,3,233.0
www.e-zikoapteka.pl,2,230.0
www.blueclinic.pl,2,228.0
www.drmax.pl,8,218.75
www.ruczajclinic.pl,1,218.0
www.skin-laser.pl,6,215.0
anclara.pl,1,207.0
tesoroclinic.pl,4,198.0
nature-eva.pl,1,193.0
www.arsestetica.pl,24,192.375
bellisana.pl,2,191.0
m.polish.fillerha.com,6,190.0
medicor.krakow.pl,2,187.5
www.groupon.pl,4,181.25
www.kliniki.pl,49,174.6326530612245
derm-estetyka.pl,5,173.8
gabinetodzaplecza.pl,2,168.5
sekretycery.pl,4,166.0
beauty-factory.pl,1,165.0
www.fillerdermal.com,1,164.0
indonesian.fillerdermal.com,1,164.0
german.fillerdermal.com,1,163.0
spanish.fillerdermal.com,1,162.0
turkish.fillerdermal.com,1,162.0
dutch.fillerdermal.com,1,162.0
portuguese.fillerdermal.com,1,162.0
russian.fillerdermal.com,1,162.0
vietnamese.fillerdermal.com,1,162.0
french.fillerdermal.com,1,162.0
greek.fillerdermal.com,1,162.0
www.theguardian.com,1,162.0
medivec.pl,1,162.0
japanese.fillerdermal.com,1,162.0
italian.fillerdermal.com,1,162.0
www.strefakosmetologii.pl,1,162.0
www.wannabebeautyguru.com,1,160.0
instytut.bielenda.pl,1,158.0
www.wrosinski.pl,4,156.0
livingnatural.pl,1,155.0
www.naturalandbeauty.pl,4,153.0
infinityderm.pl,5,150.8
beautyduty.pl,1,148.0
mudii.com,1,142.0
drkulicki.pl,7,140.85714285714286
tk-laser.pl,12,140.33333333333334
fyoung.pl,7,138.42857142857142
masi.com.pl,2,133.0
www.sowinska-podlasek.pl,5,131.8
mirackiclinic.com,14,129.21428571428572
www.fryzomania.pl,20,127.55
skinboost.pl,8,127.375
journals.viamedica.pl,2,127.0
www.blushbest.nl,7,126.57142857142857
www.europages.pl,1,126.0
uniestetica.pl,8,122.25
www.zatokapiekna.pl,1,122.0
prestigespa.pl,4,121.0
mediderm.com.pl,1,119.0
proestetica.com.pl,4,117.0
www.drtolwaj.pl,3,116.0
www.pap.pl,2,111.0
face-med.pl,1,108.0
www.akademiaciala.pl,2,107.0
www.medyk.co.uk,16,105.125
m.polish.fillerdermal.com,2,102.5
www.dokterfrodo.nl,1,100.0
btxfairy.pl,4,98.25
uradka.pl,3,93.33333333333333
monalisa-poznan.pl,30,90.53333333333333
www.glamour.pl,4,87.0
dziendobry.tvn.pl,1,86.0
www.beautyaddress.pl,4,84.25
